ABACO;INSTRUMENTO DE CÁLCULO
MELAO;FRUTA AMARELA DOCE
MELAR;MELAR COM CALDA DE AÇÚCAR
MENOR;INFERIOR EM DIMENSÃO
MENOS;EM MENOR QUANTIDADE
MENTE;FACULDADE COGNITIVA / AFIRMA FALSO
MENUS;LISTAS DE OPÇÕES EM TELA
MESAS;MÓVEIS DE REFEIÇÃO
MESES;DOZE FRAÇÕES DO ANO
MESMA;IDÊNTICA / A PRÓPRIA
MESMO;EXATAMENTE IGUAL
METAL;ELEMENTO QUÍMICO CONDUTOR
METAS;OBJETIVOS A ALCANÇAR
METER;INTRODUZIR EM UM ESPAÇO
METRO;MEDIDA PADRÃO DE CEM CENTÍMETROS
MEXER;MOVIMENTAR OU REMEXER
MICOS;PEQUENOS MACACOS BRASILEIROS
MICRO;MUITO PEQUENO
MIDIA;VEÍCULO DE COMUNICAÇÃO DE MASSA
MILHA;MEDIDA DE DISTÂNCIA
MILHO;ESPIGA DE GRÃOS AMARELOS
MIMOS;PRESENTINHOS CARINHOSOS
MINAS;JAZIDAS DE MINÉRIOS OU ESTADO
MINHA;PRONOME DE POSSE FEMININO
MIOLO;PARTE INTERNA DO PÃO
MIRAR;APONTAR A MIRA NO ALVO
MIRAS;DISPOSITIVOS DE PONTARIA
MISSA;CELEBRAÇÃO RELIGIOSA CATÓLICA
MISTO;MESCLADO DE DUAS COISAS
MITOS;LENDAS ANCESTRAIS
MIUDO;PEQUENO E FRAGMENTADO
MODEM;DISPOSITIVO DE REDE DE INTERNET
MOEDA;DINHEIRO METÁLICO CIRCULANTE
MOELA;ÓRGÃO DIGESTIVO DA AVE
MOIDA;CARNE TRITURADA NA MÁQUINA
MOIDO;TRITURADO EM PÓ
MOITA;CONJUNTO DE ARBUSTOS
MOLAR;DENTE TRITURADOR DO FUNDO
MOLDE;FORMA PARA FUNDIÇÃO
MOLHO;TEMPERO LÍQUIDO DE PRATOS
MONGE;RELIGIOSO DE MOSTEIRO
MONTE;ELEVAÇÃO DE TERRA
MORAL;CONJUNTO DE VALORES ÉTICOS
MORAR;RESIDIR EM UMA CASA
MORDE;PRESSIONAR COM OS DENTES
MORNA;ENTRE O FRIO E O QUENTE
MORNO;LEVEMENTE AQUECIDO
MORRO;PEQUENA MONTANHA HABITADA
MORSE;CÓDIGO DE PONTOS E TRAÇOS
MORTE;FIM DA VIDA BIOLÓGICA
MORTO;SEM VIDA
MOSCA;INSETO VOADOR CASEIRO
MOTEL;HOSPEDAGEM PARA CASAIS
MOTOR;MÁQUINA QUE GERA ENERGIA MECÂNICA
MOURO;POVO DO NORTE DA ÁFRICA
MOVER;COLOCAR EM DESLOCAMENTO
MUDAR;TRANSFORMAR OU TROCAR DE LOCAL
MUDAS;PLANTINHAS NOVAS OU CALADAS
MUDOS;SEM VOZ PARA FALAR
MUITO;EM GRANDE QUANTIDADE
MULAS;ANIMAIS HÍBRIDOS DE CARGA
MULTA;PUNIÇÃO EM DINHEIRO
MUNDO;PLANETA TERRA INTEIRO
MURAL;PAINEL FIXADO NA PAREDE
MUROS;PAREDES DE DIVISÃO DE TERRENO
MUSEU;LOCAL DE PRESERVAÇÃO HISTÓRICA
MUSGO;PLANTA VERDE DE ROCHA ÚMIDA
MUTUO;RECÍPROCO ENTRE AMBOS
NABOS;RAÍZES COMESTÍVEIS BRANCAS
NACAO;POVO UNIDO SOB UMA BANDEIRA
NACHO;APERITIVO CROCANTE MEXICANO
NADAR;DESLOCAR-SE DENTRO D'ÁGUA
NADIR;PONTO OPOSTO AO ZÊNITE NO CÉU
NAIPE;TIPO DE CARTA DE BARALHO
NARIZ;ÓRGÃO DO OLFATO NO ROSTO
NASAL;RELATIVO ÀS VIAS DO NARIZ
NASCE;VEM AO MUNDO NO PARTO
NATAL;FESTA DO NASCIMENTO DE CRISTO
NATAS;GORDURA DA SUPERFÍCIE DO LEITE
NAVAL;PERTENCENTE À MARINHA
NAVES;VEÍCULOS DE NAVEGAÇÃO ESPACIAL
NAVIO;GRANDE EMBARCAÇÃO MARÍTIMA
NEGAR;RECUSAR AFIRMAÇÃO
NEGRA;DE COR PRETA
NEGRO;COR ESCURA ABSOLUTA
NELAS;DENTRO DELAS
NELES;DENTRO DELES
NENEM;BEBÊ RECÉM-NASCIDO
NERVO;TRANSMISSOR DE IMPULSOS NERVOSOS
NESTA;NESTA SITUAÇÃO
NESTE;NESTE LOCAL EXATO
NETAS;FILHAS DOS FILHOS
NETOS;DESCENDENTES EM SEGUNDO GRAU
NEVAR;CAIR FLOCOS DE GELO DO CÉU
NEVES;CAMADA DE GELO BRANCO
NEXUS;PONTO DE ENLACE DE SISTEMAS
NICHO;ESPAÇO ESPECÍFICO NA PAREDE OU MERCADO
NINHO;CASA FEITA POR AVES
NISSO;NAQUELE MOMENTO EXATO
NISTO;NESTE DETALHE
NIVEL;GRAU DE ALTURA OU INSTRUMENTO
NOBRE;DE ELEVADA VIRTUDE OU CASTELO
NOITE;HORAS DE ESCURIDÃO
NOIVA;MULHER QUE VAI SE CASAR
NOIVO;HOMEM EM DIA DE CASAMENTO
NOMES;IDENTIFICADORES DE PESSOAS
NORMA;REGULAMENTO ESTABELECIDO
NORTE;DIREÇÃO CARDINAL SUPERIOR
NOSSA;PERTENCENTE A NÓS (FEM.)
NOSSO;PERTENCENTE A NÓS (MASC.)
NOTAR;PERCEBER COM ATENÇÃO
NOTAS;REGISTROS ESCRITOS OU DINHEIRO
NOVAS;INÉDITAS E RECENTES
NOVOS;RECÉM-CRIADOS OU COMPRADOS
NOZES;FRUTOS SECOS MUITO NUTRITIVOS
NUVEM;CONGLOMERADO DE VAPOR NO CÉU
OASIS;FONTE DE ÁGUA E VEGETAÇÃO NO DESERTO
OBESO;COM EXCESSO DE GORDURA CORPORAL
OBRAS;CONSTRUÇÕES OU CRIAÇÕES ARTÍSTICAS
OCASO;PÔR DO SOL OU FIM
OCUPA;PREENCHER O ESPAÇO
ODEIA;DETESTA COM PROFUNDIDADE
ODIAR;TER AVERSÃO
ODIOS;SENTIMENTOS DE RANCOR
OESTE;LADO DO PÔR DO SOL
OGIVA;PONTA EXPLOSIVA DE MÍSSIL
OLEOS;LÍQUIDOS GORDUROSOS
OLHAR;DIRIGIR A VISÃO PARA
OLHOS;ÓRGÃOS SENSORIAIS DA VISÃO
OLIVA;FRUTO DA OLIVEIRA / AZEITONA
OMBRO;ARTICULAÇÃO DO BRAÇO COM TRONCO
ONCAS;MAIORES FELINOS DAS AMÉRICAS
ONDAS;MOVIMENTO ONDULATÓRIO NO MAR
ONTEM;O DIA ANTERIOR AO DE HOJE
OPACA;SEM TRANSPARÊNCIA
OPACO;QUE NÃO DEIXA A LUZ PASSAR
OPCAO;ALTERNATIVA DE ESCOLHA
OPERA;PEÇA MUSICAL TEATRAL OU TRABALHA
OPINA;MANIFESTAR OPINIÃO
OPTAR;FAZER UMA ESCOLHA
OPTIC;RELATIVO À VISÃO E LUZ
ORADO;DIRIGIDO A DEUS EM PRECE
ORAIS;PROVAS FEITAS PELA FALA
ORBES;GLOBO TERRESTRE OU PLANETÁRIO
ORBIT;TRAJETÓRIA ESPACIAL
ORDEM;ORGANIZAÇÃO HARMONIOSA
ORELH;ORELHA / ÓRGÃO AUDITIVO
ORGAO;PARTE DO CORPO OU INSTRUMENTO
OSSOS;ESTRUTURA RÍGIDA DO ESQUELETO
OTICA;PONTO DE VISTA OU LOJA DE ÓCULOS
OTIMA;EXCELENTE EM QUALIDADE
OTIMO;DE GRAU SUPERLATIVO BOM
OUROS;METAL PRECIOSO OU NAIPE
OUSAR;TER CORAGEM DE TENTAR
OUTON;ESTAÇÃO DO ANO APÓS O VERÃO
OUTRA;ELEMENTO DIFERENTE DESTE
OUTRO;SEGUNDO ELEMENTO DISTINTO
OUVIR;ESCUTAR COM ATENÇÃO
OXIDA;ENFERRUJAR PELO OXIGÊNIO
PACTO;ACORDO SOLENE ENTRE PARTES
PADRE;SACERDOTE DA IGREJA
PAGAR;QUITAR O VALOR COMPRADO
PAGOS;DÉBITOS JÁ LIQUIDADOS
PAIRA;FLUTUAR NO AR SEM CAIR
PALCO;TABLADO DE APRESENTAÇÕES TEATRAIS
PALHA;HASTE SECA DE CEREAIS
PALMA;PARTE INTERNA DA MÃO
PALMO;MEDIDA DA MÃO ABERTA
PANDA;URSO GIGANTE BRANCO E PRETO
PANOS;PEDAÇOS DE TECIDO
PAPEL;SUPORTE DE ESCRITA DE CELULOSE
PAPOS;CONVERSAS DESCONTRAÍDAS
PARAR;CESSAR QUALQUER MOVIMENTO
PARDO;COR ENTRE BRANCO E NEGRO
PARES;NÚMEROS DIVISÍVEIS POR DOIS / IGUAIS
PARTE;FRAÇÃO DO TODO
PARTO;NASCIMENTO DE UMA CRIANÇA
PASSO;MOVIMENTO DE UM PÉ À FRENTE
PASTA;RECIPIENTE DE DOCUMENTOS OU CREME
PASTO;ÁREA DE ALIMENTO DO GADO
PATAS;PÉS DE ANIMAIS QUADRÚPEDES
PATOS;AVES AQUÁTICAS DE BICO CHATO
PAUTA;LISTA DE ASSUNTOS DE REUNIÃO
PAVAO;AVE DE CAUDA COLORIDA RADIANTE
PAVIO;CORDÃO QUE SE ACENDE NA VELA
PAVOR;MEDO HORRIPILANTE
PAZES;RECONCILIAÇÃO AMISTOSA
PEDAL;ALAVANCA ACIONADA PELO PÉ
PEDIR;SOLICITAR COM EDUCAÇÃO
PEDRA;BLOCO MINERAL SÓLIDO
PEDRO;NOME HISTÓRICO TRADICIONAL
PEGAR;SEGURAR FIRMEMENTE COM AS MÃOS
PEITO;PARTE SUPERIOR DO TÓRAX
PEIXE;ANIMAL AQUÁTICO DE GUELRAS
PELAS;POR MEIO DELAS
PELES;REVESTIMENTOS DO CORPO
PELOS;FIOS DA PELE DOS MAMÍFEROS
PENAL;REFERENTE AO CRIME E PUNIÇÃO
PENAS;PLUMAS DAS AVES OU CASTIGOS
PENSE;RACIOCINE ANTES DE AGIR
PENTE;UTENSÍLIO DE ALINHAR CABELOS
PERCA;DEIXE DE POSSUIR
PERDA;EXTRAVIO OU DANO SOFRIDO
PERDI;NÃO ENCONTREI MAIS
PERNA;MEMBRO DA MARCHA
PERTO;A POUCA DISTÂNCIA FÍSICA
PERUA;FÊMEA DO PERU OU VEÍCULO
PERUS;GRANDES AVES DE CEIA
PESAR;AFERIR QUILOS NA BALANÇA
PESCA;CAPTURA DE PEIXES NO RIO/MAR
PESOS;MEDIDAS DE MASSA
PESTE;DOENÇA EPIDÊMICA CONTAGIOSA
PIADA;HISTÓRIA ENGRAÇADA COM FINAL CÔMICO
PIANO;INSTRUMENTO DE OITENTA E OITO TECLAS
PICAR;CORTAR EM PEDAÇOS PEQUENOS
PICOS;CUMES DE MONTANHA ELEVADOS
PILOT;PILOTAR AERONAVE/VEÍCULO
PINHO;MADEIRA RESINOSA DECORATIVA
PINOS;PEÇAS DE ENCAIXE MECÂNICO
PINTA;MANCHA NA PELE OU PINTAR QUADRO
PINTO;FILHOTE DA GALINHA
PIPAS;BRINQUEDO DE VENTO COM LINHA
PIQUE;DISPOSIÇÃO E ENERGIA VITAL
PIRAR;PERDER O CONTROLE MENTAL
PIRAS;FOGUEIRAS CERIMONIAIS
PIRES;PRATINHO QUE FICA SOB A XÍCARA
PISAR;COLOCAR OS PÉS NO CHÃO
PISTA;VIA DE TRÂNSITO OU INDÍCIO POLICIAL
PIXEL;PONTO UNITÁRIO NA TELA DIGITAL
PIZZA;DISCO DE MASSA ASSADO COM QUEIJO
PLACA;PAINEL DE TRÂNSITO OU DE CIRCUITO
PLANO;ESTRATÉGIA TRAÇADA OU SUPERFÍCIE LISA
PLUTO;DEUS DO SUBMUNDO OU PLANETA ANÃO
PNEUS;RODAS DE BORRACHA COM AR
POBRE;SEM RECURSOS FINANCEIROS
PODAR;CORTAR RAMOS DA PLANTA
PODER;CAPACIDADE E AUTORIDADE DE AGIR
PODES;TENS A CAPACIDADE DE
PODIA;TINHA A POSSIBILIDADE NO PASSADO
POEMA;COMPOSIÇÃO LITERÁRIA EM VERSOS
POETA;AUTOR DE BELAS POESIAS
POLAR;DAS REGIÕES GLACIAIS DO PLANETA
POLPA;CARNE NUTRITIVA DA FRUTA
POLVO;MOLUSCO OCEÂNICO DE OITO BRAÇOS
POMAR;TERRENO REPLETO DE ÁRVORES FRUTÍFERAS
POMBA;AVE BRANCA SÍMBOLO DA PAZ
POMBO;AVE URBANA MUITO COMUM
POMPA;LUXO E OSTENTAÇÃO CERIMONIAL
PONTA;EXTREMIDADE AFINADA
PONTE;ESTRUTURA QUE CRUZA RIOS
PONTO;MARCAÇÃO NO ESPAÇO OU PONTUAÇÃO
PORCA;FÊMEA DO SUÍNO OU ROSCA MECÂNICA
PORCO;ANIMAL CRIADO EM CHIQUEIRO
PORES;COLOCAR ELEMENTOS EM LUGAR
PORTA;FOLHA DE MADEIRA QUE FECHA O VÃO
PORTO;LOCAL DE ANCORAGEM DE NAVIOS
POSSE;DETENÇÃO LEGAL DE UM BEM
POSTE;COLUNA DE CIMENTO COM FIAÇÃO ELÉTRICA
POSTO;LUGAR DESIGNADO OU DE COMBUSTÍVEL
POTES;VASILHAS DE CERÂMICA COM TAMPA
POTRO;FILHOTE DE ÉGUA E CAVALO
POUCA;DE PEQUENA QUANTIDADE
POUCO;NÃO SUFICIENTE EM VOLUME
POUSA;COLOCAR A AERONAVE NA PISTA
POUSO;ATERRIZAGEM SEGURA DE VOO
PRADO;CAMPO VERDE COM GRAMÍNEAS
PRAGA;INFESTAÇÃO DE INSETOS NOCIVOS
PRAIA;FAIXA DE AREIA BANHADA PELO MAR
PRATA;METAL PRECIOSO BRANCO RELUZENTE
PRATO;LOUÇA RASA DE REFEIÇÕES
PRAZO;TEMPO LIMITE DETERMINADO
PRECE;ORAÇÃO SUPLICANTE A DEUS
PRECO;VALOR MONETÁRIO DE VENDA
PREGO;HASTE DE METAL COM PONTA E CABEÇA
PREMI;RECOMPENSAR PELO MÉRITO
PRESA;ANIMAL CAPTURADO OU DENTE DE PREDADOR
PRESO;DETIDO ATRÁS DAS GRADES
PRETO;COR ESCURA COMO O CARVÃO
PRIMA;FILHA DOS TIOS OU PRIMEIRA CORDA
PRIMO;FILHO DOS TIOS OU NÚMERO INDIVISÍVEL
PRINT;IMPRESSÃO OU REGISTRO DE TELA
PROAS;PARTES DIANTEIRAS DOS NAVIOS
PROLE;CONJUNTO DE FILHOS DE UMA FAMÍLIA
PROSA;TEXTO ESCRITO SEM VERSOS
PROVA;EXAME DE CONHECIMENTOS OU EVIDÊNCIA
PRUMO;FIO COM PESO PARA ALINHAMENTO VERTICAL
PUDIM;SOBREMESA CREMOSA COM CALDA DE CARAMELO
PUDOR;VERGONHA E RECATAMENTO MORAL
PULAR;DAR SALTOS PARA O ALTO
PULGA;INSETO SALTITANTE QUE SUGA SANGUE
PULOS;SALTOS VIGOROSOS
PULSO;BATIMENTO DAS ARTÉRIAS NO BRAÇO
PUMAS;FELINOS VELOZES DAS MONTANHAS
PUNHA;COLOCAVA EM CERTA POSIÇÃO
PUNHO;MÃO FECHADA FIRMEMENTE
PUPIL;ALUNO OU ORIENTADO
PUROS;SEM MISTURAS OU PECADOS
PUXAR;TRAZER EM DIREÇÃO AO CORPO
QUAIS;QUAIS ITENS ESCOLHIDOS
QUASE;POR MUITO POUCO NÃO ACONTECEU
QUEDA;MOVIMENTO DE CAIR AO CHÃO
QUERO;DESEJO COM FORÇA
QUILO;MIL GRAMAS DE PESO
QUINA;ESQUINA OU SORTEIO DE CINCO NÚMEROS
RADAR;SISTEMA DE ONDAS QUE DETECTA ALVOS
RADIO;EMISSORA DE ONDAS SONORAS / METAL
RAIOS;DESCARGAS ELÉTRICAS NA TEMPESTADE
RAIVA;FÚRIA INCONTROLÁVEL OU DOENÇA VIRAL
RAMEN;SOPA JAPONESA COM MACARRÃO NUTRITIVA
RAMOS;GALHOS QUE SAEM DO TRONCO
RAMPA;SUPERFÍCIE INCLINADA DE ACESSO
RANCO;RESENTIMENTO GUARDADO
RAPAZ;HOMEM JOVEM E DISPOSTO
RAPID;VELOZ E ACELERADO
RAPTO;SEQUESTRO DE PESSOA
RARAS;MUITO POUCO COMUNS
RAROS;DIFÍCEIS DE ENCONTRAR
RASAS;COM POUCA PROFUNDIDADE DE ÁGUA
RASGO;FENDIMENTO NO TECIDO
RASOS;NÃO PROFUNDOS
RASTO;PEGADA DEIXADA NO CAMINHO
RATAS;FÊMEAS DO RATO
RATOS;ROEDORES URBANOS DE CAUDA LONGA
RAZAO;CAPACIDADE RACIONAL DE PENSAR / MOTIVO
REAIS;MOEDA DO BRASIL OU VERDADEIROS
REATA;UNIR NOVAMENTE OS LAÇOS
RECEM;MUITO RECENTE NO TEMPO
RECTO;LINHA RETA / PARTE DO CORPO
RECUA;DAR PASSOS PARA TRÁS
RECUO;MOVIMENTO DE RETIRADA DEFENSIVA
REDES;CONJUNTOS INTERLIGADOS DE FIOS/COMPUTADORES
REDOR;CIRCUNVIZINHANÇA EM TORNO
REFEM;PESSOA CAPTURADA EM CATIVEIRO
REFIL;RECARGA DE PRODUTO
REGAR;MOLHAR AS PLANTAS COM ÁGUA
REGIA;DIGNA DE UM REI
REGIO;REAL E MAJESTOSO
REGRA;LEI QUE NORMATIZA A CONDUTA
REGUA;INSTRUMENTO RETO DE MEDIR CENTÍMETROS
REINA;GOVERNAR UM REINO
REINO;TERRITÓRIO SOB COMANDO MONÁRQUICO
RELER;LER O LIVRO MAIS UMA VEZ
RELVA;GRAMA BAIXA VERDE E FRESCA
REMAR;IMPULSIONAR O BARCO COM OS REMOS
RENDA;TECIDO FINO OU GANHO MENSAL
RENTE;MUITO PRÓXIMO À SUPERFÍCIE
REPOR;COLOCAR NOVO PRODUTO NO LUGAR
REPUS;DEVOLVI AO LOCAL ORIGINAL
RESMA;PACOTE DE QUINHENTAS FOLHAS DE PAPEL
RESTO;SOBRA QUE FICOU NO FINAL
RETAS;LINHAS SEM NENHUMA CURVATURA
RETEM;GUARDA EM SEU PODER
RETOS;ALINHADOS EM LINHA DIRETA
RETRO;ESTILO DE ÉPOCAS PASSADAS
REVES;REVÉS OU DERROTA TEMPORÁRIA
REVIR;EXAMINAR NOVAMENTE OS PONTOS
REZAR;PROFERIR ORAÇÕES SAGRADAS
REZAS;PRECES DIRIGIDAS AOS CÉUS
RICAS;DOTADAS DE MUITA FORTUNA
RICOS;COM GRANDES POSSES FINANCEIRAS
RIFAS;BILHETES DE SORTEIO BENEFICENTE
RIFLE;ARMA LONGA MILITAR DE PRECISÃO
RIGOR;EXATIDÃO E SEVERIDADE MÁXIMA
RIMAS;COMBINAÇÕES SONORAS DE VERSOS
RINDO;EXPRESSANDO ALEGRIA COM GARGALHADAS
RISCA;FAZER UM TRAÇO COM CANETA
RISCO;PERIGO OU TRAÇO DESENHADO
RISOS;MANIFESTAÇÕES DE RISO COLETIVO
RITMO;CADÊNCIA COMPASSADA DA MÚSICA
RITOS;CERIMÔNIAS TRADICIONAIS SAGRADAS
RIVAL;ADVERSÁRIO NA COMPETIÇÃO
ROBAL;PEIXE MARINHO DE CARNE BRANCA
ROBOS;AUTÔMATOS MECÂNICOS PROGRAMÁVEIS
ROBOT;MÁQUINA QUE EXECUTA ORDENS
ROCAS;ROCHEDOS GRANDES E DUROS
ROCHA;MASSA MINERAL QUE FORMA AS MONTANHAS
RODAR;MOVER SOBRE RODAS EM ROTAÇÃO
RODAS;DISCOS GIRATÓRIOS DOS VEÍCULOS
ROGAR;PEDIR COM MUITA SÚPLICA
ROJAO;FOGUETE COMPOSTO DE PÓLVORA
ROLAR;DESLOCAR GIRANDO PELO CHÃO
ROLOS;CILINDROS USADOS PARA PINTAR
ROMBO;FURO OU PREJUÍZO FINANCEIRO
RONCO;RUÍDO PRODUZIDO AO DORMIR
RONDA;PATRULHA DE VIGILÂNCIA NOTURNA
ROSAS;FLORES COLORIDAS PERFUMADAS
ROSCA;PEÇA ESPIRAL DE PARAFUSO OU PÃO DOCE
ROSTO;PARTE FRONTAL DA CABEÇA HUMANA
ROTAS;CAMINHOS TRAÇADOS PARA VIAGEM
ROTOR;PARTE GIRATÓRIA DO MOTOR ELÉTRICO
ROUBA;SUBTRAIR BENS COM VIOLÊNCIA
ROUBO;CRIME DE TOMAR O ALHEIO
ROUPA;VESTIMENTA QUE COBRE O CORPO
ROUXO;COR ENTRE VIOLETA E PÚRPURA
ROXAS;DE COR VIOLETA VIBRANTE
ROXOS;TONS DE ROXO ESCURO
RUIDO;SOM INDESEJADO OU BARULHO
RUINA;DESTRUIÇÃO COMPLETA DE UM PRÉDIO
RUINS;DE PÉSSIMA QUALIDADE OU ÍNDOLE
RUMOR;NOTÍCIA QUE CORRE SEM PROVAS
RUMOS;DIREÇÕES SEGUIDAS NA NAVEGAÇÃO
RURAL;REFERENTE AO CAMPO E À ROÇA
RUSSO;IDIOMA OU CIDADÃO DA RÚSSIA
SABER;CONHECIMENTO ADQUIRIDO
SABIA;DONA DE GRANDE SABEDORIA
SABIO;HOMEM CHEIO DE CONHECIMENTO
SABOR;SENSAÇÃO GUSTATIVA NA BÍNGUA
SABRE;ESPADA CURVA DE CAVALARIA
SACAR;RETIRAR DINHEIRO DO CAIXA ELETRÔNICO
SACOS;EMBALAGENS PLÁSTICAS OU DE PAPEL
SACRA;SAGRADA E CONSAGRADA A DEUS
SACRO;OSSO DA BASE DA COLUNA OU SAGRADO
SAFRA;COLHEITA ANUAL DE UMA PLANTAÇÃO
SAGAZ;ESPERTO E MUITO INTELIGENTE
SAGUI;MACAQUINHO MUITO PEQUENO E ÁGIL
SAIAS;VESTUÁRIO FEMININO ABERTO
SAIDA;PORTA PELA QUAL SE SAI DO LOCAL
SAIDO;QUE SE RETIROU DO RECINTO
SALAS;CÔMODOS DE UMA CASA
SALDO;VALOR RESTANTE NA CONTA BANCÁRIA
SALMO;CÂNTICO SAGRADO DA BÍBLIA
SALSA;TEMPERO VERDE AROMÁTICO
SALTO;PULO NO AR OU PARTE DO SAPATO
SALVA;LIVRAR DO PERIGO
SALVE;CUMPRIMENTO OU SALVAÇÃO
SALVO;LIVRE DE AMEAÇAS E PROTEGIDO
SAMBA;RITMO E DANÇA TÍPICA DO BRASIL
SANAR;RESOLVER OU CURAR UM PROBLEMA
SANHA;FÚRIA DESENFREADA
SANTA;MULHER DE VIDA PURA E DEVOTA
SANTO;CONSAGRADO E IMACULADO
SAPAT;CALÇADO
SAPOS;ANFÍBIOS QUE PULAM NA BEIRA DA LAGOA
SAQUE;RETIRADA DE DINHEIRO OU INÍCIO NO VÔLEI
SARDA;PEQUENA MANCHA ESCURA NA PELE
SARNA;DOENÇA DE PELE QUE CAUSA COCEIRA
SAUDE;ESTADO PLENO DE BEM-ESTAR FÍSICO
SEARA;CAMPO DE TRIGO CULTIVADO
SECAR;REMOVER A UMIDADE COM TOALHA
SECAS;PERÍODOS DE FALTA DE CHUVA
SECOS;LIVRES DE QUALQUER ÁGUA
SEDAS;TECIDOS FINOS E BRILHANTES DE CASULO
SEDES;VONTADE INTENSA DE BEBER ÁGUA / MATRIZES
SEGUI;ACOMPANHAR OS PASSOS DE ALGUÉM
SEIVA;LÍQUIDO NUTRITIVO DAS PLANTAS
SEIXO;PEDRINHA ROLADA DO RIO
SELAR;FECHAR COM LACRE OU COLOCAR SELA
SELAS;ASSENTOS DE COURO NO CAVALO
SELOS;ESTAMPILLAS COLADAS NA CARTA
SELVA;MATA VIRGEM MUITO FECHADA
SEMEN;FLUIDO REPRODUTIVO MASCULINO
SENAO;CASO CONTRÁRIO / A NÃO SER
SENDA;CAMINHO ESTREITO OU DESTINO
SENDO;ESTANDO NA CONDIÇÃO
SENHA;CÓDIGO SECRETO DE ACESSO
SENIL;RELATIVO À VELHICE AVANÇADA
SENSO;CAPACIDADE DE JULGAR CORRETAMENTE
SENTI;EXPERIMENTAR EMOÇÃO OU TOQUE
SERAO;TRABALHO NOTURNO EXTRAORDINÁRIO
SERIA;GRAVE E SEM SORRISO NO ROSTO
SERIE;SEQUÊNCIA ORDENADA DE EPISÓDIOS
SERIO;GRAVE E RESPONSÁVEL
SERRA;MONTANHA OU FERRAMENTA DE DENTES AFIADOS
SERVA;MULHER QUE TRABALHA SERVINDO
SERVI;PRESTAR SERVIÇO COM DEDICAÇÃO
SERVO;CRIADO OU ASSISTENTE
SESTA;DESCANSO APÓS O ALMOÇO
SETAS;FLECHAS OU SÍMBOLOS INDICATIVOS
SETOR;DIVISÃO DE UMA ORGANIZAÇÃO
SEXTA;SEXTO DIA ÚTIL DA SEMANA
SEXTO;QUE VEM APÓS O QUINTO
SIGLA;ABREVIATURA FORMADA POR INICIAIS
SIGNO;SÍMBOLO ZODIACAL ASTRAL
SILVA;SOBRENOME MAIS COMUM NO BRASIL
SIMIO;MACACO OU PRIMATA
SINAL;MARCA OU GESTO DE COMUNICAÇÃO
SINOS;INSTRUMENTOS DE BRONZE NA TORRE DA IGREJA
SINTA;PERCEBA PELOS SENTIDOS
SINTO;TENHO A SENSAÇÃO NO CORPO
SIRIA;PAÍS DO ORIENTE MÉDIO
SITIO;PEQUENA PROPRIEDADE RURAL
SKATE;PRANCHA COM QUATRO RODINHAS PARA MANOBRAS
SOBRA;PARTE QUE RESTOU
SOBRE;ACIMA DE OU A RESPEITO DE
SOCAR;BATER COM O PUNHO FECHADO
SOCIO;MEMBRO ASSOCIADO DE UMA FIRMA
SOCOS;GOLPES DE BOXE COM AS MÃOS
SODAS;BEBIDAS CARBONATADAS REFRIGERANTES
SODIO;ELEMENTO QUÍMICO PRESENTE NO SAL
SOFAS;ESTOFADOS CONFORTÁVEIS DE SALA
SOFRE;PASSAR POR DOR E ANGÚSTIA
SOGRA;MÃE DO CÔNJUGE
SOGRO;PAI DO CÔNJUGE
SOLAR;PROVENIENTE DA ENERGIA DO SOL
SOLAS;BASES DE BORRACHA DOS SAPATOS
SOLDA;UNIÃO METÁLICA POR CALOR
SOLDO;SALÁRIO PAGO AOS MILITARES
SOLOS;CAMADAS SUPERFICIAIS DA TERRA
SOLTA;LIVRE DE AMARRAS
SOLTO;DESPRENDIDO E LIVRE
SOMAR;ADICIONAR UMA PARCELA A OUTRA
SOMAS;RESULTADOS DE ADIÇÕES
SOMOS;PRONOME NÓS NO PRESENTE
SONAR;EQUIPAMENTO DE ECO LOCALIZADOR
SONDA;APARELHO DE EXPLORAÇÃO CIENTÍFICA
SONHA;IMAGINAR CENÁRIOS DURANTE O SONO
SONHO;DESEJO PROFUNDO OU VISÃO NOTURNA
SONOR;RELATIVO AO SOM AUDÍVEL
SOPAS;CALDOS QUENTES NUTRITIVOS
SOPRO;AR EXPELIDO PELA BOCA
SOROS;LÍQUIDOS MEDICINAIS FISIOLÓGICOS
SORRI;ABRIR UM BELO SORRISO
SORTE;ACONTECIMENTO FAVORÁVEL DO ACASO
SOTAO;ESPAÇO ABAIXO DO TELHADO DA CASA
SOUZA;SOBRENOME MUITO TRADICIONAL
SUAVE;DELICADO E MACIO AO TATO
SUBIR;ELEVAR-SE PARA O PONTO MAIS ALTO
SUCOS;BEBIDAS NATURAIS EXTRAÍDAS DE FRUTAS
SUECA;CIDADÃ DA SUÉCIA OU JOGO DE CARTAS
SUECO;HOMEM NATURAL DE ESTOCOLMO
SUGAR;PUXAR LÍQUIDO COM CANUDO
SUICO;NATIVO DA SUÍÇA
SUJAS;CHEIAS DE POEIRA E SUJEIRA
SUJOS;QUE PRECISAM DE BANHO E LIMPEZA
SULCO;RANHURA ABERTA NA TERRA PELO ARADO
SUMIR;EVAPORAR DA VISTA DE TODOS
SUPER;ÓTIMO OU DE ALTO NÍVEL
SUPOR;PRESUMIR SEM CERTEZA ABSOLUTA
SUPUS;IMAGINEI QUE FOSSE VERDADE
